Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-117.968,41.976,0,0,0.5,0.5
-117.872,41.972,0,0,0.5,0.5
-117.776,41.968,0,0,0.5,0.5
-117.68,41.963,0,0,0.5,0.5
-117.584,41.959,0,0,0.5,0.5
-122.989,42.159,3.28E-03,1.95E-03,0.5,1.243465375
-122.892,42.159,2.16E-03,0,0.5,1.073683257
-122.795,42.159,2.77E-03,0,0.5,0.970860805
-122.698,42.158,1.15E-03,0,0.5,0.927770118
-122.601,42.158,1.30E-03,0,0.5,0.930333806
-122.504,42.158,1.26E-03,0,0.5,0.985753834
-122.408,42.157,1.06E-03,0,0.5,1.100677102
-122.311,42.157,2.52E-03,0,0.5,1.287252872
-121.536,42.15,1.84E-03,0,0.5,1.116293865
-121.44,42.148,0,0,0.5,0.855519541
-121.343,42.147,0,0,0.5,0.668651566
-121.246,42.145,0,0,0.5,0.525150617
-121.149,42.144,0,0,0.5,0.5
-121.052,42.142,0,0,0.5,0.5
-120.956,42.141,0,0,0.5,0.5
-120.859,42.139,0,0,0.5,0.5
-120.762,42.137,0,0,0.5,0.5
-120.665,42.135,0,0,0.5,0.5
-120.569,42.133,0,0,0.5,0.5
-120.472,42.131,0,0,0.5,0.5
-120.375,42.129,0,0,0.5,0.5
-120.279,42.127,0,0,0.5,0.5
-120.182,42.124,0,0,0.5,0.5
-120.085,42.122,0,0,0.5,0.5
-119.989,42.119,0,0,0.5,0.5
-119.892,42.117,0,0,0.5,0.5
-119.795,42.114,0,0,0.5,0.5
-119.699,42.111,0,0,0.5,0.5
-119.602,42.109,0,0,0.5,0.5
-119.506,42.106,0,0,0.5,0.5
-119.409,42.103,0,0,0.5,0.5
-119.312,42.1,0,0,0.5,0.5
-119.216,42.096,0,0,0.5,0.5
-119.119,42.093,0,0,0.5,0.5
-119.023,42.09,0,0,0.5,0.5
-118.926,42.087,0,0,0.5,0.5
-118.83,42.083,0,0,0.5,0.5
-118.733,42.079,0,0,0.5,0.5
-118.637,42.076,0,0,0.5,0.5
-118.541,42.072,0,0,0.5,0.5
-118.444,42.068,0,0,0.5,0.5
-118.348,42.064,0,0,0.5,0.5
-118.251,42.061,0,0,0.5,0.5
-118.155,42.056,0,0,0.5,0.5
-118.059,42.052,0,0,0.5,0.5
-117.962,42.048,0,0,0.5,0.5
-117.866,42.044,0,0,0.5,0.5
-117.77,42.04,0,0,0.5,0.5
-117.674,42.035,0,0,0.5,0.5
-122.989,42.231,3.51E-03,0,0.5,1.178504121
-122.892,42.231,2.31E-03,0,0.5,1.024104499
-122.795,42.231,2.88E-03,0,0.5,0.946888957
-122.698,42.231,1.17E-03,0,0.5,0.919690645
-122.601,42.23,1.26E-03,0,0.5,0.942869643
-122.504,42.23,1.17E-03,0,0.5,1.012774437
-122.407,42.229,2.86E-03,0,0.5,1.153688126
-122.31,42.229,2.17E-03,0,0.5,1.378744387
-121.632,42.223,1.00E-03,0,0.5,1.392152642
-121.535,42.222,0,0,0.5,1.018948378
-121.438,42.22,0,0,0.5,0.77977614
-121.341,42.219,0,0,0.5,0.615644678
-121.244,42.217,0,0,0.5,0.5
-121.147,42.216,0,0,0.5,0.5
-121.05,42.214,0,0,0.5,0.5
-120.953,42.213,0,0,0.5,0.5
-120.856,42.211,0,0,0.5,0.5
-120.76,42.209,0,0,0.5,0.5
-120.663,42.207,0,0,0.5,0.5
-120.566,42.205,0,0,0.5,0.5
-120.469,42.203,0,0,0.5,0.5
-120.372,42.201,0,0,0.5,0.5
-120.276,42.199,0,0,0.5,0.5
-120.179,42.196,0,0,0.5,0.5
-120.082,42.194,0,0,0.5,0.5
-119.985,42.191,0,0,0.5,0.5
-119.888,42.189,0,0,0.5,0.5
-119.792,42.186,0,0,0.5,0.5
-119.695,42.183,0,0,0.5,0.5
-119.598,42.18,0,0,0.5,0.5
-119.502,42.178,0,0,0.5,0.5
-119.405,42.175,0,0,0.5,0.5
-119.115,42.165,0,0,0.5,0.5
-119.018,42.162,0,0,0.5,0.5
-118.922,42.158,0,0,0.5,0.5
-118.825,42.155,0,0,0.5,0.5
-118.729,42.151,0,0,0.5,0.5
-118.632,42.148,0,0,0.5,0.5
-118.536,42.144,0,0,0.5,0.5
-118.439,42.14,0,0,0.5,0.5
-118.343,42.136,0,0,0.5,0.5
-118.246,42.132,0,0,0.5,0.5
-118.15,42.128,0,0,0.5,0.5
-118.053,42.124,0,0,0.5,0.5
-117.957,42.12,0,0,0.5,0.5
-117.86,42.116,0,0,0.5,0.5
-117.764,42.111,0,0,0.5,0.5
-117.668,42.107,0,0,0.5,0.5
-122.989,42.303,3.65E-03,0,0.5,1.139899983
-122.892,42.303,2.41E-03,0,0.5,0.995478299
-122.795,42.303,2.96E-03,0,0.5,0.929654564
-122.697,42.303,1.19E-03,0,0.5,0.915390395
-122.6,42.302,1.22E-03,0,0.5,0.950835053
-122.503,42.302,1.09E-03,0,0.5,1.038044344
-122.406,42.301,2.67E-03,0,0.5,1.19392618
-122.309,42.301,3.89E-03,0,0.5,1.439477604
-121.63,42.295,1.23E-03,0,0.5,1.287519668
-121.533,42.294,0,0,0.5,0.935613631
-121.436,42.292,0,0,0.5,0.714925722
-121.339,42.291,0,0,0.5,0.56329724
-121.242,42.29,0,0,0.5,0.5
-121.145,42.288,0,0,0.5,0.5
-121.048,42.286,0,0,0.5,0.5
-120.951,42.285,0,0,0.5,0.5
-120.854,42.283,0,0,0.5,0.5
-120.757,42.281,0,0,0.5,0.5
-120.66,42.279,0,0,0.5,0.5
-120.563,42.277,0,0,0.5,0.5
-120.466,42.275,0,0,0.5,0.5
-120.369,42.273,0,0,0.5,0.5
